Day,Month,ForecastWindProduction,SystemLoadEA,SMPEA,ORKTemperature,ORKWindspeed,CO2Intensity,ActualWindProduction,SystemLoadEP2,SMPEP2
13,9,824.68,4432.34,69.1,17.0,20.4,432.18,956.0,4207.28,66.04
23,12,1365.39,2974.82,34.37,7.0,20.4,451.26,741.0,2369.42,35.78
1,9,671.5,3161.81,47.01,13.0,9.3,501.62,637.0,2963.74,47.35
22,1,617.49,4473.88,57.8,9.0,22.2,458.67,915.0,3965.75,41.82
30,12,1022.93,4607.21,53.84,11.0,22.2,444.31,791.0,4309.93,53.24
18,3,311.46,3302.51,47.13,3.0,16.7,573.83,236.0,3074.4,46.52
22,6,1236.9,3796.18,54.41,14.0,35.2,316.52,1077.0,3201.88,44.61
22,6,1169.05,4516.14,57.12,15.0,27.8,387.99,1141.0,4090.0,60.16
22,7,126.6,2453.61,55.37,16.0,13.0,560.11,192.0,2329.41,55.08
30,8,433.92,2766.53,32.69,14.0,11.1,521.36,520.0,2510.49,32.69
21,5,109.72,2624.06,42.01,8.0,5.6,525.66,144.0,2503.77,42.03
11,11,1440.86,5029.42,67.7,13.0,42.6,366.87,1364.0,4447.49,60.64
23,7,257.7,4507.94,77.23,17.0,11.1,480.05,198.0,4442.13,95.81
29,9,670.36,4209.34,64.9,13.0,18.5,521.34,730.0,3962.84,64.69
22,5,376.48,4108.55,44.06,12.0,14.8,584.59,417.0,4125.74,91.02
30,12,1286.28,4634.6,51.64,11.0,25.9,403.51,1183.0,4245.97,47.56
25,12,343.24,4351.91,79.98,,,406.67,349.0,3985.93,57.29
2,2,400.96,4705.35,57.26,4.0,9.3,491.29,487.0,4374.33,49.6
28,6,822.23,4384.24,65.89,18.0,22.2,378.51,876.0,4072.05,70.37
31,12,1392.16,2717.18,36.41,10.0,31.5,354.85,965.0,2353.4,36.41
11,6,448.08,4322.0,59.0,14.0,11.1,482.63,503.0,3989.15,49.68
12,8,344.9,3462.35,57.16,17.0,22.2,411.63,397.0,3334.13,51.38
21,7,62.2,2860.62,43.6,11.0,5.6,798.54,44.0,2832.14,50.1
30,1,564.3,5150.61,50.88,8.0,9.3,527.84,576.0,4796.14,69.64
13,3,327.6,3418.18,35.03,1.0,18.5,594.97,250.0,3466.74,101.3
30,3,450.4,4302.4,66.08,3.0,24.1,497.59,614.0,3932.62,66.08
26,3,312.7,4764.43,61.55,11.0,24.1,527.02,218.0,4571.6,80.73
29,12,1234.5,2949.21,42.22,8.0,25.9,356.8,709.0,2262.46,55.89
29,2,235.12,3388.53,42.22,8.0,13.0,506.71,257.0,3301.34,47.01
23,12,1140.73,3750.4,46.13,7.0,14.8,385.52,773.0,3524.97,51.43
2,6,107.2,3468.2,64.33,16.0,7.4,497.4,68.0,3417.14,84.4
15,3,270.3,3261.95,47.14,7.0,5.6,560.49,301.0,3161.97,47.59
10,3,1331.02,2820.95,33.16,6.0,40.7,421.66,1175.0,2607.42,35.16
7,2,507.46,5554.37,71.49,7.0,16.7,481.72,884.0,5017.17,63.75
15,1,1059.0,3030.76,41.0,6.0,31.5,357.6,817.0,2609.39,0.0
30,7,587.5,4510.08,73.54,19.0,27.8,418.84,483.0,4306.4,49.38
23,5,1118.45,4556.67,72.13,9.0,29.6,337.95,1022.0,4133.01,67.77
19,3,455.5,3590.84,51.97,2.0,11.1,548.08,336.0,3366.96,50.75
7,5,293.6,3784.62,67.11,10.0,20.4,535.52,424.0,3870.88,88.96
3,11,427.45,3714.79,54.15,8.0,16.7,362.56,358.0,3622.64,54.85
9,2,789.8,3356.68,54.26,7.0,13.0,446.28,777.0,3100.95,65.99
28,9,742.54,4552.24,62.6,13.0,20.4,462.23,729.0,4006.87,61.09
22,9,74.57,2740.8,43.03,8.0,11.1,591.81,125.0,2649.27,40.34
6,6,63.7,3708.04,49.69,11.0,3.7,552.45,6.0,3781.19,49.69
3,4,524.1,3645.9,96.17,2.0,18.5,589.85,460.0,3162.33,93.14
28,12,870.3,3719.89,43.0,2.0,11.1,292.11,684.0,3742.72,60.51
17,5,134.7,3970.74,49.42,7.0,9.3,628.66,63.0,4117.7,64.12
7,10,876.6,4626.26,64.73,16.0,22.2,379.46,1007.0,4210.62,59.2
5,9,30.95,4464.27,72.41,17.0,11.1,500.85,39.0,4301.38,73.02
15,3,758.0,4432.55,59.59,4.0,14.8,492.01,416.0,4265.31,68.61
5,2,1454.36,5940.07,157.4,6.0,35.2,394.54,1390.0,5420.6,137.92
5,11,386.2,5086.6,101.89,6.0,11.1,507.85,298.0,4856.3,80.94
13,5,1189.3,3829.13,85.01,,,291.1,1236.0,3304.53,42.04
14,8,146.35,4293.12,57.43,16.0,11.1,379.36,157.0,4282.09,95.67
13,4,262.4,3999.74,48.91,6.0,9.3,609.44,170.0,3866.96,55.84
14,6,947.4,4478.74,60.59,10.0,42.6,421.27,1074.0,4042.34,66.13
20,10,450.1,4140.56,83.11,14.0,22.2,452.12,271.0,3980.4,72.5
15,12,1499.68,4318.66,34.53,11.0,37.0,325.33,1359.0,3939.63,37.98
16,10,762.9,3111.96,39.85,6.0,16.7,529.53,665.0,3028.44,39.15
1,11,343.46,2762.67,33.75,5.0,9.3,539.38,338.0,2544.33,39.87
26,3,713.1,5219.85,84.27,2.0,31.5,461.75,605.0,5024.42,84.27
14,10,84.4,4564.08,56.47,13.0,11.1,396.86,154.0,4470.46,100.69
16,7,639.1,4461.8,99.59,19.0,24.1,454.61,725.0,4330.16,79.81
9,4,665.18,3992.75,86.5,4.0,18.5,537.28,609.0,3576.12,58.94
28,12,1338.75,4531.44,65.16,6.0,29.6,327.9,1243.0,4059.97,50.1
14,11,1471.05,3110.88,38.5,8.0,29.6,339.96,1278.0,2704.56,10.55
24,9,108.9,4724.94,81.66,15.0,13.0,474.79,77.0,4682.88,81.96
27,4,245.49,3967.97,59.71,11.0,16.7,523.5,284.0,3650.11,102.91
20,12,1323.06,4871.04,63.19,8.0,24.1,357.08,1353.0,4544.35,52.83
6,6,55.74,2746.07,45.91,11.0,11.1,515.21,102.0,2678.36,35.76
10,5,301.12,3340.56,62.95,9.0,18.5,509.71,295.0,3059.95,59.12
2,6,328.4,3506.26,51.89,13.0,16.7,493.75,376.0,3379.6,44.08
7,9,68.7,4385.74,94.29,16.0,13.0,556.5,95.0,4651.53,93.32
24,3,1110.01,2863.82,32.35,3.0,33.3,445.86,1130.0,2611.89,35.24
1,4,1364.59,3769.88,39.74,3.0,33.3,433.32,1123.0,2873.63,34.72
12,1,48.7,4435.73,43.94,8.0,5.6,566.99,17.0,4228.24,43.43
6,1,862.65,4397.21,63.83,10.0,22.2,352.7,1031.0,4031.94,47.47
6,1,989.21,3161.64,42.35,9.0,16.7,368.37,825.0,2828.83,35.88
6,5,30.16,2769.43,48.81,5.0,0.0,645.21,63.0,2801.85,41.47
28,3,577.9,3700.53,80.52,-1.0,24.1,619.05,351.0,3532.08,113.59
22,6,1169.66,2478.97,36.15,10.0,22.2,353.14,760.0,2176.75,28.64
26,12,1062.7,4094.58,87.91,9.0,40.7,357.08,1099.0,3610.79,62.33
15,3,235.0,3257.89,41.03,7.0,5.6,486.14,323.0,3085.52,41.03
16,5,55.21,4676.95,98.5,7.0,16.7,300.32,43.0,4592.84,95.86
12,5,290.85,4086.74,111.05,11.0,16.7,404.96,339.0,3833.11,65.78
8,3,502.29,3332.75,46.39,6.0,13.0,506.84,480.0,3223.72,49.51
27,2,593.7,4068.25,71.85,10.0,13.0,543.63,492.0,3646.37,58.79
2,10,841.8,2763.48,37.39,10.0,16.7,494.01,688.0,2404.69,38.28
21,8,119.6,3829.64,68.6,15.0,11.1,494.21,84.0,3724.09,84.69
2,4,729.5,4804.76,133.93,4.0,25.9,448.92,662.0,4384.52,139.98
9,11,282.06,3118.73,35.1,3.0,5.6,490.52,379.0,3103.58,40.82
24,12,1464.25,3368.46,46.23,3.0,44.4,341.34,1283.0,2701.13,30.43
17,12,869.99,4130.76,51.14,5.0,24.1,576.83,780.0,3912.04,51.15
8,10,159.6,4676.12,91.46,16.0,13.0,447.49,163.0,4446.07,65.78
16,11,640.8,4257.06,46.33,12.0,18.5,499.46,545.0,4401.59,55.05
19,3,472.2,3133.62,34.55,2.0,18.5,595.23,318.0,3075.73,32.35
1,1,413.8,4703.0,99.08,6.0,9.3,421.26,360.0,4430.54,55.42
29,9,650.5,4204.05,70.38,14.0,20.4,423.64,641.0,4045.13,107.97
8,9,349.3,3402.23,56.14,12.0,14.8,496.21,374.0,3143.25,50.33
18,6,32.17,4281.81,46.76,13.0,13.0,472.09,61.0,4257.2,60.68
9,11,123.0,4267.22,47.63,6.0,13.0,452.54,70.0,4210.9,52.56
28,12,1531.3,4492.62,67.52,11.0,46.3,291.38,1411.0,4033.61,49.02
11,5,1149.84,2757.94,38.87,8.0,33.3,323.14,779.0,2443.19,25.89
28,10,834.69,2970.98,36.13,8.0,24.1,513.53,825.0,2602.09,31.63
