Day,Month,ForecastWindProduction,SystemLoadEA,SMPEA,ORKTemperature,ORKWindspeed,CO2Intensity,ActualWindProduction,SystemLoadEP2,SMPEP2
13,9,824.68,4432.34,69.10,17.00,20.40,432.18,956.00,4207.28,66.04
23,12,1365.39,2974.82,34.37,7.00,20.40,451.26,741.00,2369.42,35.78
1,9,671.50,3161.81,47.01,13.00,9.30,501.62,637.00,2963.74,47.35
22,1,617.49,4473.88,57.80,9.00,22.20,458.67,915.00,3965.75,41.82
30,12,1022.93,4607.21,53.84,11.00,22.20,444.31,791.00,4309.93,53.24
18,3,311.46,3302.51,47.13,3.00,16.70,573.83,236.00,3074.40,46.52
22,6,1236.90,3796.18,54.41,14.00,35.20,316.52,1077.00,3201.88,44.61
22,6,1169.05,4516.14,57.12,15.00,27.80,387.99,1141.00,4090.00,60.16
22,7,126.60,2453.61,55.37,16.00,13.00,560.11,192.00,2329.41,55.08
30,8,433.92,2766.53,32.69,14.00,11.10,521.36,520.00,2510.49,32.69
21,5,109.72,2624.06,42.01,8.00,5.60,525.66,144.00,2503.77,42.03
11,11,1440.86,5029.42,67.70,13.00,42.60,366.87,1364.00,4447.49,60.64
23,7,257.70,4507.94,77.23,17.00,11.10,480.05,198.00,4442.13,95.81
29,9,670.36,4209.34,64.90,13.00,18.50,521.34,730.00,3962.84,64.69
22,5,376.48,4108.55,44.06,12.00,14.80,584.59,417.00,4125.74,91.02
30,12,1286.28,4634.60,51.64,11.00,25.90,403.51,1183.00,4245.97,47.56
25,12,343.24,4351.91,79.98,?,?,406.67,349.00,3985.93,57.29
2,2,400.96,4705.35,57.26,4.00,9.30,491.29,487.00,4374.33,49.60
28,6,822.23,4384.24,65.89,18.00,22.20,378.51,876.00,4072.05,70.37
31,12,1392.16,2717.18,36.41,10.00,31.50,354.85,965.00,2353.40,36.41
11,6,448.08,4322.00,59.00,14.00,11.10,482.63,503.00,3989.15,49.68
12,8,344.90,3462.35,57.16,17.00,22.20,411.63,397.00,3334.13,51.38
21,7,62.20,2860.62,43.60,11.00,5.60,798.54,44.00,2832.14,50.10
30,1,564.30,5150.61,50.88,8.00,9.30,527.84,576.00,4796.14,69.64
13,3,327.60,3418.18,35.03,1.00,18.50,594.97,250.00,3466.74,101.30
30,3,450.40,4302.40,66.08,3.00,24.10,497.59,614.00,3932.62,66.08
26,3,312.70,4764.43,61.55,11.00,24.10,527.02,218.00,4571.60,80.73
29,12,1234.50,2949.21,42.22,8.00,25.90,356.80,709.00,2262.46,55.89
